freq,psd_x,psd_y,psd_z,psd_xyz,shapers:,zv(129.4),mzv(132.0),ei(108.2),2hump_ei(101.2),3hump_ei(149.8)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,,1.000,1.000,1.000,1.000,1.000
1.5,3.071e-13,3.587e-15,4.423e-15,3.151e-13,,1.000,1.000,0.999,0.999,0.999
3.0,2.099e-01,5.873e-03,9.735e-03,2.255e-01,,1.000,0.999,0.999,0.998,0.998
4.5,1.722e+01,1.156e+00,1.953e+00,2.033e+01,,0.999,0.999,0.998,0.997,0.998
6.0,7.422e+01,6.598e+00,1.133e+01,9.215e+01,,0.999,0.999,0.998,0.996,0.997
7.5,1.352e+02,1.535e+01,2.399e+01,1.745e+02,,0.999,0.998,0.997,0.995,0.996
8.9,2.008e+02,2.349e+01,3.281e+01,2.571e+02,,0.999,0.998,0.997,0.994,0.995
10.4,2.517e+02,2.764e+01,3.523e+01,3.145e+02,,0.998,0.998,0.996,0.993,0.994
11.9,2.507e+02,2.178e+01,3.064e+01,3.031e+02,,0.998,0.997,0.995,0.992,0.993
13.4,2.531e+02,1.747e+01,2.648e+01,2.971e+02,,0.998,0.997,0.995,0.991,0.992
14.9,2.745e+02,1.415e+01,2.668e+01,3.153e+02,,0.998,0.997,0.994,0.990,0.991
16.4,2.982e+02,1.163e+01,2.348e+01,3.333e+02,,0.997,0.996,0.993,0.989,0.990
17.9,3.176e+02,1.106e+01,2.118e+01,3.498e+02,,0.997,0.996,0.993,0.988,0.989
19.4,3.458e+02,1.140e+01,2.007e+01,3.773e+02,,0.997,0.995,0.992,0.987,0.988
20.9,3.761e+02,1.154e+01,1.790e+01,4.056e+02,,0.996,0.995,0.991,0.985,0.987
22.4,4.142e+02,1.182e+01,1.837e+01,4.444e+02,,0.996,0.995,0.990,0.984,0.986
23.8,4.360e+02,9.756e+00,2.064e+01,4.664e+02,,0.996,0.994,0.990,0.983,0.985
25.3,4.248e+02,8.402e+00,1.739e+01,4.506e+02,,0.996,0.994,0.989,0.981,0.984
26.8,4.496e+02,8.031e+00,1.760e+01,4.752e+02,,0.995,0.993,0.988,0.980,0.983
28.3,4.910e+02,7.287e+00,1.687e+01,5.151e+02,,0.995,0.993,0.987,0.978,0.982
29.8,5.298e+02,7.610e+00,1.533e+01,5.527e+02,,0.995,0.992,0.986,0.977,0.981
31.3,5.587e+02,8.434e+00,1.610e+01,5.833e+02,,0.994,0.992,0.986,0.976,0.979
32.8,5.771e+02,8.622e+00,1.642e+01,6.021e+02,,0.994,0.992,0.985,0.974,0.978
34.3,6.037e+02,8.415e+00,1.442e+01,6.266e+02,,0.994,0.991,0.984,0.973,0.977
35.8,6.387e+02,9.466e+00,1.351e+01,6.617e+02,,0.993,0.991,0.983,0.971,0.976
37.3,6.805e+02,8.614e+00,1.317e+01,7.023e+02,,0.993,0.990,0.982,0.969,0.974
38.7,7.088e+02,8.029e+00,1.256e+01,7.293e+02,,0.993,0.990,0.981,0.968,0.973
40.2,7.484e+02,9.720e+00,1.158e+01,7.697e+02,,0.992,0.989,0.980,0.966,0.972
