freq,psd_x,psd_y,psd_z,psd_xyz,shapers:,zv(123.8),mzv(128.8),ei(149.8),2hump_ei(145.6),3hump_ei(149.8)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,,1.000,1.000,1.000,1.000,1.000
1.5,2.440e-14,5.411e-13,8.142e-14,6.469e-13,,1.000,1.000,1.000,0.999,0.999
3.0,5.889e-02,6.775e-01,1.708e-01,9.072e-01,,1.000,0.999,0.999,0.999,0.998
4.5,1.270e+01,1.289e+02,3.048e+01,1.721e+02,,0.999,0.999,0.999,0.998,0.998
6.0,6.619e+01,7.596e+02,1.566e+02,9.824e+02,,0.999,0.999,0.998,0.998,0.997
7.5,1.401e+02,1.568e+03,3.493e+02,2.057e+03,,0.999,0.998,0.998,0.997,0.996
8.9,2.029e+02,2.209e+03,4.385e+02,2.851e+03,,0.999,0.998,0.998,0.996,0.995
10.4,2.230e+02,2.381e+03,4.916e+02,3.095e+03,,0.998,0.998,0.997,0.996,0.994
11.9,1.967e+02,2.004e+03,4.426e+02,2.643e+03,,0.998,0.997,0.997,0.995,0.993
13.4,1.843e+02,2.476e+03,3.960e+02,3.056e+03,,0.998,0.997,0.996,0.994,0.992
14.9,1.627e+02,2.582e+03,3.587e+02,3.104e+03,,0.997,0.996,0.996,0.993,0.991
16.4,1.438e+02,2.404e+03,3.185e+02,2.866e+03,,0.997,0.996,0.995,0.993,0.990
17.9,1.255e+02,2.189e+03,2.739e+02,2.588e+03,,0.997,0.996,0.995,0.992,0.989
19.4,1.107e+02,1.907e+03,2.431e+02,2.261e+03,,0.997,0.995,0.994,0.991,0.988
20.9,1.114e+02,1.442e+03,2.472e+02,1.800e+03,,0.996,0.995,0.994,0.991,0.987
22.4,1.198e+02,1.224e+03,2.366e+02,1.581e+03,,0.996,0.994,0.993,0.990,0.986
23.8,1.041e+02,1.147e+03,2.155e+02,1.467e+03,,0.996,0.994,0.993,0.989,0.985
25.3,1.031e+02,1.010e+03,1.945e+02,1.307e+03,,0.995,0.994,0.992,0.988,0.984
26.8,9.049e+01,1.107e+03,1.915e+02,1.389e+03,,0.995,0.993,0.992,0.987,0.983
28.3,9.026e+01,9.936e+02,2.128e+02,1.297e+03,,0.995,0.993,0.991,0.986,0.982
29.8,9.787e+01,8.555e+02,2.554e+02,1.209e+03,,0.994,0.992,0.991,0.985,0.981
31.3,1.176e+02,8.455e+02,2.392e+02,1.202e+03,,0.994,0.992,0.990,0.985,0.979
32.8,1.252e+02,9.333e+02,2.288e+02,1.287e+03,,0.994,0.991,0.990,0.984,0.978
34.3,9.651e+01,9.607e+02,2.185e+02,1.276e+03,,0.993,0.991,0.989,0.983,0.977
